claim_id,claim_text,source_id,content_label,definition,limitation,last_verified,pages
C024,Post-foreclosure evictions of veteran families are filed in the Secretary's name via a VA REO contractor under a federal contract with a ceiling near $374 million.,S024,DOCUMENTED FACT,VRM REO/eviction contract ceiling (USASpending/FPDS),Contract record; confirm current ceiling,2026-07-23,the-script
C025,"The 180-day servicer implementation runway was the mortgage industry's own request, granted in full.",S026;S025,DOCUMENTED FACT,"MBA and CHLA each asked VA for at least 180 days in March 2026 comment letters; VA set exactly 180 days from the June 1 publication, landing 11/28/26",Industry letters reported by HousingWire 3/12/26; the 180-day figure is confirmed in VA's own servicer FAQ,2026-07-25,policy
C026,Foreclosure activity is climbing while the partial claim is still not running.,S028;S029;S030;S033,DOCUMENTED FACT,"227,548 filings H1 2026 (+21% YoY, +28% vs H1 2024); VA delinquency 4.99% vs 2.75% conventional; industry forecast of FHA/VA foreclosures more than doubling by autumn 2027","ATTOM counts all residential property not veteran households; delinquency is survey data; the doubling figure is a practitioner forecast, cite as warning not projection",2026-07-25,current-status
C027,"The outcome was named in advance, repeatedly, by the industry, advocates, national press and Congress.",S009;S020;S030;S026;S002;S034;S029;S001;S027;S032;S028;S033,DOCUMENTED FACT,Chronological warning record Mar 2025 - Jul 2026,"Foreseeability, not intent; never cite as evidence that any official intended the outcome",2026-07-25,policy
C028,Low-income veteran households get inadequate or no professional legal help for the overwhelming majority of their civil legal problems.,S047,DOCUMENTED FACT,LSC 2017 Justice Gap: 71% had a civil legal problem; sought help for 21%; est. 88% received inadequate or no professional legal help,"2017 data, predates this crisis; measures civil legal need generally not foreclosure defence; veteran estimates based on fewer than 100 reported problems",2026-07-25,current-status
C029,"Families who took a COVID-19 forbearance were told, in VA's own guidance, that the missed payments would not have to be repaid in a single payment.",S048;S049,DOCUMENTED FACT,VA CARES Act guidance: up to 180 days + 180 more on request; payments missed during forbearance do not have to be made up in a single payment,"Guidance as issued in 2020; establishes what families were told, not what any servicer later offered",2026-07-25,timeline;current-status
C030,"The partial claim veterans used during the pandemic came from CARES Act authority that expired in 2021, leaving VA the only federal home loan program without one.",S050;S010,DOCUMENTED FACT,H.R. 1815 sponsor summary: CARES partial-claim authority expired 2021; every other federal home loan program offers a partial claim except VA,"Sponsor summary is an advocacy document; cite for legislative rationale on the record, not neutral analysis",2026-07-25,timeline;policy
C031,The bill that creates the VA partial claim also eliminates judicial review of VA's decision to take a secured interest in a veteran's defaulted home loan.,S005,DOCUMENTED FACT,"CBO Mandates section: by not allowing judicial review of VA's decision to obtain secured interest in a veteran's defaulted home loan, the bill would eliminate an existing right of action; no cost assigned because judicial review does not result in monetary damages",Scores H.R. 1815 as reported in 2025; the authority was enacted via Pub. L. 119-37 s7307 and whether the enacted text carries the same provision is not verified here,2026-07-25,policy
C032,"The partial claim was scored for roughly 12,200 claims averaging $27,200, with the authority expiring five years after enactment.",S005,DOCUMENTED FACT,"CBO: ~12,200 partial claims at $27,200 average on VA-provided loan volume; 37% subsidy rate; $124M subsidy costs 2025-2035; authority expires five years after enactment; 25% cap or 30% if delinquent before May 1 2025","12,200 is a take-up projection, not a statutory cap; scores H.R. 1815 as reported, not enacted Pub. L. 119-37; cohort tiers are counted differently",2026-07-25,policy
C033,"VA's regulation pays a servicer at most $1,000 for a successful loss-mitigation outcome, and the largest incentive in the schedule is for a short sale.",S021,DOCUMENTED FACT,38 CFR 36.4319(b) incentive schedule by tier: repayment plan 200/160/120/0; special forbearance same; loan modification 700/500/300/0; short sale 1000/800/600/0; deed-in-lieu 350/250/150/0; 36.4319(e) lets the Secretary stop payment for inadequate servicing,"Incentives are one input into servicer behaviour, not the whole picture; tier ranking is itself a performance mechanism",2026-07-25,policy
C034,The money in VA's rules does not point toward keeping families in their homes.,S021;S005,PROJECT ANALYSIS,"Top-tier modification pays the servicer $700 while CBO records VA typically pays lenders up to 25% of the outstanding balance on foreclosure (up to $75,000 on a $300,000 balance)","Our reading, not rule text; incentive goes to the servicer and guaranty to the holder, often but not always the same company; a guaranty payment reimburses loss rather than producing profit; not a finding that any servicer profits by foreclosing",2026-07-25,policy
C035,"VA told Congress in February 2024 that it could not offer a partial claim, and explained the risk-share reason why.",S052,DOCUMENTED FACT,VA: unlike HUD and USDA it has no explicit authority to advance guaranty funds as loss mitigation and cannot offer a partial claim pulling from the guaranty; longstanding public position that Congress never authorized a partial advance without termination of the loan; lack of authority may be because VA carries only 25% of default risk where other federal programs carry 90% or more; COVID-VAPCP expired 10/28/2022,"VA's position as of Feb 2024, before Congress created the permanent partial claim in Pub. L. 119-31 (7/30/25); explains the pre-2025 gap, not VA's authority today",2026-07-25,policy
C036,"VA's own February 2024 numbers: more than 200,000 veterans affected by the COVID-19 emergency, more than 50,000 assisted through its temporary retention options.",S052,DOCUMENTED FACT,"Also 145,000+ retained homes and avoided foreclosure over the prior year","VA's figures on VA's definitions; the 145,000 covers roughly the year to Feb 2024, a different period and measure from the 173,000 in the June 2026 launch release; cohort tiers are not derived from or merged with either",2026-07-25,policy
C037,"A year before Congress acted, independent analysts had documented that VA had the most limited loss-mitigation options of any federal program and told Congress what was needed.",S053;S052,DOCUMENTED FACT,Urban Institute 7/2024: VA has the most limited loss mitigation options lacking both portfolio and partial claim authority; Congress needs to grant VA partial claim authority and fund a fuller sequence of loss-mitigation options,"Independent analysis not a government finding; the paper names funds acquired July 2021 and expired Oct 2022, and the Refund Modification operated on and off after the partial claim authority expired July 2022 - a run of short extensions rather than one end date; this site uses VA's own COVID-VAPCP expiry of 10/28/2022",2026-07-25,policy
C038,"Uneven servicer implementation of VASP was predicted in print, before the harm, because VA never defined the standard servicers had to apply.",S053,DOCUMENTED FACT,Urban Institute 7/2024: lack of clear servicer guidance on 'exhausted all other options' gives servicers a good deal of discretion and assures implementation will be uneven; borrowers could not apply for VASP directly,"A prediction about VASP as designed in 2024, published before VASP was terminated; evidence of foreseeability not a measurement of servicer behaviour",2026-07-25,accountability
C039,Analysts noted at the time that VA could have built a more flexible modification under the authority it already had.,S053,DOCUMENTED FACT,Urban Institute 7/2024: VA with its existing authority could have introduced a more flexible modification rather than the flat 2.5 percent; proposed 20-25 percent payment-reduction target with a 2.5 percent floor at lower cost to government,Concerns VASP's 2024 design and the scope of VA's existing discretion; not a statement about the June 2026 partial-claim policy whose ceilings Congress set in statute,2026-07-25,policy
C040,VA's own borrower FAQ warned that short sale and deed in lieu could result in a loss or reduction in your future home loan benefit.,S054,DOCUMENTED FACT,CARES Act FAQ question 13 attaches the italicised future-benefit caution to short sale and deed in lieu,"VA's statement of consequence in borrower guidance, not a finding about any family's entitlement",2026-07-25,policy
C041,Both COVID-era partial-claim options turned on a borrower's status in March 2020 and closed on fixed dates.,S054,DOCUMENTED FACT,"COVID-VAPCP 7/27/21-10/28/22, current or within 30 days of current on 3/1/20; Refund Modification 7/27/21-7/1/23, within 120 days current on 3/1/20","Records the barriers as VA published them, not how many families they excluded",2026-07-25,policy
C042,"Entry into CARES forbearance was mandatory on request, without documentation, regardless of whether the borrower was already behind.",S049;S054,DOCUMENTED FACT,Interagency servicer fact sheet: servicer must give the forbearance requested; no documentation required; available regardless of delinquency status; VA servicers cannot require a lump sum immediately on exit,The duty attaches to entry and to the lump-sum prohibition on exit; it does not make any exit option mandatory,2026-07-25,policy
C043,"VA instructed servicers not to start foreclosure or its alternatives at Step D, and recorded in the same circular that servicers had been doing exactly that.",S055,DOCUMENTED FACT,Circular 26-24-2: servicer is not to initiate foreclosure or alternatives at this point; VA observed servicers may have begun foreclosure or offered deed-in-lieu or short sale before VA had the opportunity to determine whether another option could help the borrower retain the home; all Step D loans to be referred to VA,"VA's general observation about servicer conduct under earlier circulars, Feb 2024; not a finding about any individual servicer or loan",2026-07-25,policy
C044,"The COVID-19 Home Retention Waterfall's own entry test was broader than the partial-claim test: current or less than 120 days past due as of March 1 2020, or a loan made on or after that date.",S055,DOCUMENTED FACT,"Circular 26-24-2 section 5; Step C targets 31 pct of gross monthly household income without VA purchase exceeding 30 pct of UPB, and where achievable the servicer offers the Refund Modification regardless of the percentage of payment reduction","The waterfall entry test, distinct from the COVID-VAPCP test in C041; a borrower could fall outside one and inside the other",2026-07-25,policy
C045,In February 2024 VA told servicers it could purchase a delinquent loan outright under its section 3732 refunding authority.,S055,DOCUMENTED FACT,Step D options at VA's sole discretion include exercising loan refunding authority under 38 USC 3732 to purchase a delinquent loan from the holder and assume primary servicing,Describes what VA may do at its sole discretion; does not record how often it was used,2026-07-25,policy
C046,"The servicer guidance said arrears could be paid back over time, and that a borrower could end a forbearance simply by resuming the regular monthly payment.",S049,DOCUMENTED FACT,Interagency CARES fact sheet: missed payments must be repaid although it may be paid back over time; inform borrowers they can resume making their regular monthly mortgage payment to end the forbearance and discuss repayment options; servicers of VA loans cannot require a lump sum immediately after exit; M26-4 Chapter 5 options,Records what the guidance instructed; not a finding that any particular servicer departed from it,2026-07-25,policy
C047,"VA named its VASP authority on the record in February 2024, three months before launch: 38 U.S.C. 3732 and 38 C.F.R. Part 4320.",S056,DOCUMENTED FACT,"Bell: 'Yes, sir, 38 USC 3732, as an authorization for VASP, as well as our current regulation at 38 CFR 4320'; 40,000 borrowers sought; 6 months of payments required on a modification in the waterfall","VA's assertion of authority, contested at the hearing by the subcommittee chair; records what VA claimed and when, not a finding that the authority existed; predates the April 2024 launch materials at C023 by three months",2026-07-25,policy
C048,"The standard was set on the record, by the subcommittee's own chair: whether VA has authority to keep veterans in their homes is a veterans question, not a partisan one.",S056,DOCUMENTED FACT,"Van Orden 2/15/24: 'I have concerns now, and I do not care who is in the White House, because this affects our veterans and is not political'; substantive objection was no statutory authority for a below-market-rate modification, very little confidence in VA's ability to administer, VA 'simply making this up'; VA answered 38 USC 3732 and 38 CFR 4320; program terminated eleven months later on ~8 days notice","The standard as stated at that hearing, quoted in full and in context; this project applies it to the entire record before and after January 2025 and to every party in it; it does not characterize any member's later positions or motives - what each party said and when is on News & Record and the Accountability Tracker",2026-07-25,policy
C049,"Sixteen months before the replacement was terminated, Congress and VA were already arguing about the interest rate on a modification - from opposite directions.",S056,DOCUMENTED FACT,"Chair pressed on intentional default for a lower payment, noting most veteran borrowers exceed 3%; Bell: almost 90% of portfolio at 2.5-3% coupon","Hearing record of a policy argument, not evidence about what any servicer offered any borrower; community-reported accounts of market-rate modification offers are recorded separately under their own label and not merged",2026-07-25,policy
C050,"Veterans were told to pay the full arrears or lose the house, after VA had announced a foreclosure pause.",S058,DOCUMENTED FACT,"Servicer: you have to pay the full amount back or you're going into foreclosure; pause message did not appear to be trickling down; ~$20,000 arrears","Press reporting of one family's account, not a finding about any servicer's conduct generally",2026-07-25,interim-2023
C051,The alternative offered in place of a lump sum raised the monthly payment.,S058,DOCUMENTED FACT,"Told arrears would move to the back end of a 30-year mortgage; then $57,000 demanded or a modification; modification raised payment $1,300/mo to $3,600",One family's reported terms; consistent with C033/C034 but not a pattern on its own,2026-07-25,interim-2023
C052,VA active-foreclosure volume diverged from FHA and GSE volumes after the moratorium ended and VA's assistance program ended.,S057,DOCUMENTED FACT,"NPR analysis of ICE data indexed to 100 in Jan 2018: VA ~123 by late 2023, FHA ~63, GSE ~55; chart marks VA ending its assistance program","News analysis of proprietary servicing data read from the published chart, so index values are approximate",2026-07-25,interim-2023
C053,"VA's 2023 foreclosure pause was temporary and ran only to May 31, 2024, with 40,000 VA borrowers in foreclosure or delinquent.",S058,DOCUMENTED FACT,"Secretary: pause through May 31 2024 for the additional time that we need; 40,000 in foreclosure or delinquent without a modification; VA met with servicers of 90%+ of VA loans","Figures as reported Dec 2023; the 40,000 is point-in-time on the reporter's sourcing, not a VA publication, and is not merged with the cohort tiers",2026-07-25,interim-2023
C054,"On the government's own numbers, foreclosure is the spending and retention is the offset - the barriers that exclude the cohort move federal money to the more expensive outcome.",S005;S003;S021;S024,PROJECT ANALYSIS,"CBO: decrease in net direct spending, $294M avoided foreclosure-related payments, ~$27,200 per claim; project model ~$2.3B to foreclose on the 31,500 in active foreclosure; 38 CFR 36.4319(b) caps retention incentive at $1,000 with largest incentive for short sale; VA REO eviction contract up to $374.4M","Project conclusion, not a government finding; $2.3B is our model from published per-foreclosure figures; CBO scores H.R. 1815 as reported; two of three official statements await Congressional Record or committee-video citation",2026-07-25,policy
C055,The committee that ended VASP argued for the partial claim on cost grounds - and put the arithmetic on the record.,S059,DOCUMENTED FACT,"Apr 3 2025 joint statement: intent to establish a partial claim so veterans can stay in their homes 'while still protecting the American taxpayer'; $22,500 average delinquency vs $292,000 average loan purchased (now $320,000); a partial claim 'could solve the majority of delinquent loans at a much less expensive clip to the taxpayer'","The quoted words and figures are the committee majority's own; establishes the standard its authors set for themselves; the characterisation of why VASP was created is theirs, quoted not adopted",2026-07-25,policy
C056,"Measured against the standard its own authors set, the partial claim has not yet done what it was said to do.",S059;S010;S006;S013;S005;S003,PROJECT ANALYSIS,"VASP ended 5/1/25 on ~8 days notice; partial claim authorised 7/30/25, final policy 6/1/26, submissions 6/15/26, servicer deadline 11/28/26 - more than 18 months; Ch. 22 handbook barriers exclude the cohort the withdrawal exposed; CBO scored the partial claim as a decrease in net direct spending against ~$2.3B modelled for the 31,500 in active foreclosure","Project conclusion from the cited record, not a government finding; dated commitments measured against dated implementation; establishes that commitment and outcome diverged and who made the commitment, not why; $2.3B is this project's model",2026-07-25,policy
C057,"Within six days of the VASP announcement, the ranking members of three committees of jurisdiction warned the Secretary in writing that the closure would push veterans into foreclosure.",S060;S061;S062,DOCUMENTED FACT,"Apr 9 2025 letter signed by 22 Democrats and Independents; Takano's 80,000 figure the same month; Jul 2025 bipartisan bicameral statement describing the replacement as a tool to keep veterans in their homes","Statements of the members who made them, quoted as made; the 80,000 figure is Takano's and is not adopted or merged with the cohort tiers",2026-07-26,policy
C058,The Take Care of America's Veterans Act is paid for by raising VA home loan fees and by codifying future disability-rating cuts.,S031;S041;S206,DOCUMENTED FACT,"IRRRL funding fee 0.5% to 1.42%; loan-assumption fee 0.5% to 1.0%; Section 108 codifies an estimated $57B in future rating reductions for tinnitus and sleep apnea; Common Defense estimates $8,000+ added over an average loan; VFW and DAV oppose the offsets; led by Reps. Bost and Van Orden and Sen. Moran",Records the offsets as written and the organisations' stated opposition; asserts no member's motive; the site's reading is labelled PROJECT ANALYSIS separately,2026-07-26,watch
C059,"A family that took a loan modification in the previous 24 months does not qualify for the partial claim, and Congress did not write that rule.",S013;S006;S010,DOCUMENTED FACT,"M26-4 Ch. 22 sec 22.02 a.7: ""The borrower has not received a loan modification in the 24 months preceding the date the servicer evaluates the loan under the Waterfall."" One of seven criteria in 22.02 that do not appear in 38 U.S.C. 3737.","Establishes that the criterion is an agency addition, not that it is unlawful. Does not establish how many families it excludes.",2026-08-18,policy
C060,"The 24-month lockout runs to the date a servicer evaluates the loan, and servicers have until November 28 2026, so a family modified after roughly November 2024 is barred at the moment the program finally reaches them.",S013;S006;S025,PROJECT ANALYSIS,"The lookback in 22.02 a.7 is measured from ""the date the servicer evaluates the loan under the Waterfall"", not from the policy date. VA's servicer FAQ sets the operational deadline at 180 days from the June 1 2026 publication, November 28 2026.","Arithmetic from two published dates. Evaluation dates vary by servicer, and a family modified earlier may clear the lookback before their servicer is operational.",2026-08-18,policy
C061,"Two of the ten qualifying criteria were changed or added after the public comment window closed, so the people who commented commented on a different document.",S149;S013;S006,DOCUMENTED FACT,"Draft 22.02 a.7(a) required ""at least six (6) monthly payments since the most recent modification""; the final replaced it with a flat 24-month lockout. Criterion 10, disqualifying a prior COVID-19 partial claim payment or refund modification, does not appear in the draft.","Establishes that the text changed between draft and final. Does not establish why, and does not establish that any commenter would have objected.",2026-08-18,policy
C062,"A foreclosure protection Congress created in July 2025 was narrowed 105 days later, inside a funding bill.",S151;S152;S019,DOCUMENTED FACT,"38 U.S.C. 3720(h), created by Pub. L. 119-31 sec 2(b)(3), barred the Secretary from acting under 3720(a)(2) to (5) ""before the completion of the sequence of mitigation options"". Pub. L. 119-37 sec 7307(a) replaced that with a bar applying only to a purchase under 3732(a)(2) ""unless the Secretary determines the purchase would be made consistent with section 3732(d)"". The companion bar in 3732(d) was left intact.","Compares enacted text with amended text. Does not assert intent, does not assert that the change caused any foreclosure, and no committee report or explanatory statement examining this specific effect has been located as of 2026-08-18.",2026-08-18,policy
C063,"Of thirteen recommendations one veteran family submitted on VA's draft policy, VA adopted two, and both were drafting changes rather than enforcement or remedy.",S006;S013,PROJECT ANALYSIS,"A public comment on the draft M26-4 Chapters 5 and 22 was filed on March 11 2026; VA acknowledged receipt by email the same day. Each of the thirteen recommendations was compared against the text of the June 1 2026 final policy. Two were adopted: the 30 percent COVID-era cap applied by reference to when a payment was missed, and a 30-day VALERI submission clock. The eleven declined are each either an enforcement mechanism that would constrain a servicer or a remedy that would reach a family already harmed.","Measures one commenter's recommendations against the final text. It does not measure what VA did with the rest of the comment record, which we have not reviewed, and it does not assert that VA read or considered this comment specifically. PUBLISHED 2026-08-31 in redacted form at /docs/public-comment/, so both columns of the table are now checkable by a reader. COUNT, stated because both numbers appear on this site: the comment makes twelve section-by-section recommendations and one cross-cutting ask under 38 U.S.C. 3737(h). This row counts thirteen by including the cross-cutting ask; the comment's own text says twelve, meaning the section items. Neither is wrong. VERSION: the published copy is the author's tightened copy dated 2026-03-16, five days after filing; 194 of about 240 sentences are identical to the copy dated 2026-03-11 and the differences are added citation detail. It is not offered as a byte-exact reproduction of what VA received.",2026-08-31,policy
C064,"Federal law sets six conditions a VA refinance must meet before it can be guaranteed, and each one can be checked from a family's own closing papers.",S172;S173;S174,DOCUMENTED FACT,"38 U.S.C. 3709 sets four of them: the lender must certify a recoupment period and schedule all fees and incurred costs to be recouped within 36 months of loan issuance (a); it must provide the borrower with a net tangible benefit test (b)(1); the new rate must be at least 50 basis points below the old one where a fixed rate replaces a fixed rate and 200 basis points where an adjustable rate replaces a fixed rate (b)(2) and (b)(3); and the loan may not be guaranteed until the later of six consecutive monthly payments made on the loan being refinanced and 210 days after that loan's first payment due date (c). 38 CFR 36.4307 adds that the new monthly principal and interest payment must be lower and caps the new loan at the refinanced balance plus authorised closing costs and a discount of no more than 2 percent. VA Circular 26-19-22 requires the lender to twice present the veteran with a comparison of the two loans, once within three business days of application and again at closing.","Quotes the statute, the regulation and the circular as published. Whether any particular refinance met them is a legal question, and most of the documents that answer it sit in the lender's loan file rather than the family's.",2026-08-21,build-your-case
C065,VA's Inspector General reported that the Loan Guaranty Service could not confirm lenders were meeting three of those requirements.,S178,DOCUMENTED FACT,"VA OIG Report 21-01295-149, August 23 2023, page ii: Prior to these new controls, LGY was unable to sufficiently ensure those three requirements were met. The three are fee recoupment, net tangible benefit and loan seasoning. On the reporting lenders owe VA after closing, page iii: lenders did not comply, and LGY's controls were not sufficient for obtaining compliance.","The finding describes controls in place before the May 2020 controls the audit describes, and the audit sample is fiscal year 2020. The OIG made nine recommendations and VBA concurred with all nine; three were flagged as needing a VA Office of General Counsel legal opinion before a disagreement about closing costs could be resolved.",2026-08-21,build-your-case;record
C066,Thousands of veterans were overcharged on VA refinances in the year those refinances multiplied nearly sevenfold.,S178,DOCUMENTED FACT,"VA OIG Report 21-01295-149. Page 1: In fiscal year (FY) 2020, VA reported a 598 percent increase in the number of IRRRLs from the previous year. Page ii: the OIG estimated that at least 3,200 FY 2020 borrowers were overcharged $1.6 million. Page 19: approximately 18,400 of the FY 2020 borrowers (21 percent) were potentially overcharged a total of $3 million in unsupported, unallowable or unreasonable closing costs.","Both figures are statistical estimates projected from audit samples of fiscal year 2020 loans, not counts of identified individuals. The $1.6 million estimate rests on 19 sampled loans. VA and the OIG did not agree on part of the closing-cost finding.",2026-08-21,build-your-case;record
C067,In 2019 VA's Inspector General found the Loan Guaranty Service did not always oversee servicers well enough for borrowers in default to get the help they were owed.,S176,DOCUMENTED FACT,"VA OIG Report 18-03979-204, September 30 2019: The OIG found the Loan Guaranty Service did not always provide sufficient oversight to ensure borrowers in default received the needed assistance. And: The audit team estimated, based on a sample review of 200 loans, that 14 percent of loans had at least one oversight deficiency. All four recommendations are recorded as Closed-Implemented, the last of them on June 23 2020.","A 2019 audit projected from a 200-loan sample. Closure records that VA satisfied the OIG it had acted on a recommendation; it does not measure what happened to families afterwards. The four closure dates differ; the private appendix this row was built from records them all as June 23 2020, which the OIG dashboard does not support.",2026-08-21,record
C068,"In 2022 the Inspector General told VBA leadership that its focus on organisational problems had harmed some veterans, and VBA formally disagreed in writing.",S177,DOCUMENTED FACT,"VA OIG Management Advisory Memorandum 22-01290-237, December 8 2022, page 2: VBA's well-intentioned focus on solving organizational challenges has, however, resulted in negative consequences for some veterans and their families. Page 7 records the response: VBA strongly oppose[s] the implication that VBA did not always fully consider the effect organizational decisions would have on Veterans, beneficiaries, and their families.","The memo is cross-cutting across VBA, drawing on at least four reports issued since 2018 covering home loan funding fees, pensions, personal information and medical examinations. It is not a Loan Guaranty finding and it makes no new recommendations.",2026-08-21,record
C069,A state attorney general has already enforced against a mortgage servicer for failing to apply COVID-era protections correctly.,S179,DOCUMENTED FACT,"On December 17 2025 the Massachusetts Attorney General announced a $4.65 million settlement with Newrez LLC, as successor by merger to Specialized Loan Servicing LLC, under the headline AG Campbell Reaches $4.65 Million Settlement with Mortgage Loan Servicer for Unlawful Foreclosures and Deceptive Business Practices, subtitled Violations Include Failure to Correctly Implement Covid-Era Protections.","A state settlement under Massachusetts consumer protection law. It is not a VA loan case, it binds no other state or company, and a settlement is not an admission. The company is named here as the subject of a published enforcement action, not as the subject of an argument.",2026-08-21,record
