source_id,title,publisher,url,pub_date,last_verified,type,status,status_display,note,archived_url
S011,VASP program record,U.S. Dept. of Veterans Affairs,https://www.benefits.va.gov/HOMELOANS/documents/circulars/26-25-02.pdf,2024-05-31,2026-07-15,agency,verified,verified,VASP launched 5/31/24; killed effective 5/1/25 on ~8 days notice,https://web.archive.org/web/20260731233611/https://www.benefits.va.gov/HOMELOANS/documents/circulars/26-25-02.pdf
S012,Veteran Homelessness Programs: Opportunities to Improve Data Collection and Establish an Evaluation Plan (GAO-26-107517),U.S. Government Accountability Office,https://www.gao.gov/products/gao-26-107517,2026-03-30,2026-08-21,oversight,verified,verified,"174,045 eligible veterans un-referred to HUD-VASH 2020-2024; no documented reason for 87% (151,296); case-manager turnover 20-26%/yr. Released 3/30/26, PUBLIC. Title and publication date read 2026-08-21 from this row's own Wayback capture; gao.gov returns 403 to direct fetch.",https://web.archive.org/web/20260616181736/https://www.gao.gov/products/gao-26-107517
S013,M26-4 Chapter 22 (VA loss-mitigation / partial-claim policy),U.S. Dept. of Veterans Affairs,https://www.knowva.ebenefits.va.gov/system/templates/selfservice/va_ssnew/help/customer/locale/en-US/portal/554400000001018/content/554400000324998/VA-Manual-M26-4-Transmittal-Sheet-Change-14,2026-06,2026-07-15,agency manual,verified,verified,"Source for the VA-added gates (active-default, current-servicer, 3-month trial); confirm 25% vs 30% UPB cap + any rate cap | 2026-08-18: shares its KnowVA portal URL with S148. Not a duplicate - KnowVA serves the chapter and its transmittal sheet from one address. Do not merge.",https://web.archive.org/web/20260811220052/https://www.knowva.ebenefits.va.gov/system/templates/selfservice/va_ssnew/help/customer/locale/en-US/portal/554400000001018/content/554400000324998/VA-Manual-M26-4-Transmittal-Sheet-Change-14
S014,CARES Act forbearance provisions,U.S. Congress / federal agencies,https://www.congress.gov/bill/116th-congress/house-bill/748/text,2020,2026-07-15,statute,verified,verified,Universal forbearance; civilian-comparison lead argument,https://web.archive.org/web/20260709230718/https://www.congress.gov/bill/116th-congress/house-bill/748/text
S015,"Rep. Pappas + 27 colleagues (28 signers), foreclosure-moratorium letter",U.S. House (Rep. Chris Pappas),https://pappas.house.gov/media/press-releases/pappas-demands-va-establish-foreclosure-moratorium-for-veterans-put-at-risk-of-losing-their-homes,2026-05-26,2026-07-22,press release,verified,verified,"Letter text says 10,000+, predates the 15,000+ update",https://web.archive.org/web/20260809195549/https://pappas.house.gov/media/press-releases/pappas-demands-va-establish-foreclosure-moratorium-for-veterans-put-at-risk-of-losing-their-homes
S016,"NCLC + NFHA moratorium call, Takano-Pappas press conference",U.S. House Democrats (Veterans),https://democrats-veterans.house.gov/news/press-releases/takano-and-pappas-host-press-conference-on-trump-va-ending-program-protecting-veterans-from-foreclosure,2025-05-20,2026-07-22,press conference,verified,verified,NCLC and National Fair Housing Alliance called for the same foreclosure moratorium,https://web.archive.org/web/20260210070955/https://democrats-veterans.house.gov/news/press-releases/takano-and-pappas-host-press-conference-on-trump-va-ending-program-protecting-veterans-from-foreclosure
S017,Rising veteran homelessness / voucher-to-unit gap,National Coalition for Homeless Veterans,https://nchv.org/,not dated,2026-07-22,advocacy org,verified,verified,Veterans with vouchers still cannot find available/affordable units; veteran homelessness rising in most recent point-in-time count,https://web.archive.org/web/20260806045509/https://nchv.org/
S018,VA Homeless Programs FY25 budget breakdown (VA own),U.S. Dept. of Veterans Affairs,https://www.va.gov/HOMELESS/featuredarticles/Where-Does-the-Money-Go.asp,2025,2026-07-22,agency budget,verified,verified,$3.2B FY25 homeless-programs budget; ~26% (~$825M) prevention; GPD $320M; HCHV $283M. FY26 requested $3.46B + proposed $1.1B BRAVE,https://web.archive.org/web/20260226130148/https://www.va.gov/HOMELESS/featuredarticles/Where-Does-the-Money-Go.asp
S019,Pub. L. 119-37 §7307(e); 38 U.S.C. §3737(h) as amended,U.S. Congress / Cornell LII,https://www.law.cornell.edu/uscode/text/38/3737,2025-11,2026-07-22,statute,verified,verified,Nov 2025 expansion of Secretary's emergency authority; 139 Stat. 651,https://web.archive.org/web/20260809195628/https://www.law.cornell.edu/uscode/text/38/3737
S020,VASP behind/accepted figures,CNN,https://www.cnn.com/2025/04/30/politics/veterans-affairs-mortgage-rescue-program-phase-out,2025-04-30,2026-07-25,news,verified,verified,"~75,000 behind and ~17,000 accepted at VASP cancellation; ~8 days notice",https://web.archive.org/web/20250506041319/https://www.cnn.com/2025/04/30/politics/veterans-affairs-mortgage-rescue-program-phase-out
S021,eCFR Title 38 Part 36 (VA loan regulations),U.S. Government / eCFR,https://www.ecfr.gov/current/title-38/part-36,2026,2026-07-23,regulation,verified,verified,"Sections 36.4315, 36.4319, 36.4350, 36.4803 rule text",
S022,eCFR Title 12 section 1024.41 (Regulation X loss mitigation),U.S. Government / eCFR,https://www.ecfr.gov/current/title-12/section-1024.41,2026,2026-07-23,regulation,verified,verified,"30-day evaluation, specific denial reasons, anti-dual-tracking",
S023,VASP launch materials - VA Circular 26-24-16 (existing-authority statement),U.S. Dept. of Veterans Affairs,https://www.benefits.va.gov/HOMELOANS/documents/circulars/26-24-16.pdf,2024,2026-07-25,agency statement,verified,verified,Existing authority under 38 U.S.C. 3732 and 3720; see also VASP servicer FAQ PDF,https://web.archive.org/web/20250715030646/https://www.benefits.va.gov/HOMELOANS/documents/circulars/26-24-16.pdf
S024,VRM REO / eviction contract record (PIID VA119A17C0062),USASpending / FPDS,https://www.usaspending.gov/award/CONT_AWD_VA119A17C0062_3600_-NONE-_-NONE-,2026,2026-07-25,contract record,verified,verified,Vendor Resource Management Inc (Carrollton TX); $200.6M obligated / $302.4M current award / $374.4M potential ceiling; in progress,https://web.archive.org/web/20260725202142/https://www.usaspending.gov/award/CONT_AWD_VA119A17C0062_3600_-NONE-_-NONE-
S025,VA Partial Claim / Loss Mitigation Waterfall FAQs for servicers,U.S. Dept. of Veterans Affairs,https://www.benefits.va.gov/HOMELOANS/partial-claims-servicer-faqs.asp,2026-06-16,2026-07-25,agency,verified,verified,VA's own launch-vs-implementation split: servicers have 180 days to implement from the June 1 2026 final-policy publication; cites M26-4 Transmittal Sheets 13 and 14,https://web.archive.org/web/20260821235731/https://www.benefits.va.gov/HOMELOANS/partial-claims-servicer-faqs.asp
S026,"Mortgage-industry comment letters on the draft policy (MBA, CHLA)",HousingWire (Sarah Wolak),https://www.housingwire.com/articles/va-partial-claim-rules/,2026-03-12,2026-07-25,press,verified,verified,MBA + CHLA each asked VA for at least 180 days of servicer lead time; MBA said the draft would leave veterans substantially worse off than Fannie/Freddie/FHA borrowers,https://web.archive.org/web/20260411161612/https://www.housingwire.com/articles/va-partial-claim-rules/
S027,ABA analysis of the final Ch. 5 / Ch. 22 policy,ABA Banking Journal,https://bankingjournal.aba.com/2026/06/va-finalizes-new-partial-claim-program-loss-mitigation-updates/,2026-06-05,2026-07-25,industry,verified,verified,Nov 28 = 180 days from the June 1 effective date; waterfall simplified 8 to 6 steps; partial claim moved up to Step 5; several technical issues remain pending VA clarity,https://web.archive.org/web/20260809195847/https://bankingjournal.aba.com/2026/06/va-finalizes-new-partial-claim-program-loss-mitigation-updates/
S028,ATTOM 2026 Mid-Year U.S. Foreclosure Market Report,ATTOM Data Solutions,https://www.attomdata.com/news/market-trends/foreclosures/2026-mid-year-foreclosure-market-report/,2026-07-16,2026-07-25,market data,verified,verified,"227,548 properties with filings in H1 2026; +21% YoY; +28% vs H1 2024. All residential property, not veteran households",https://web.archive.org/web/20260803151008/https://www.attomdata.com/news/market-trends/foreclosures/2026-mid-year-foreclosure-market-report/
S029,"MBA National Delinquency Survey, Q1 2026",Mortgage Bankers Association,https://www.mba.org/news-and-research/newsroom/news/2026/05/14/mortgage-delinquencies-increase-in-the-first-quarter-of-2026,2026-05-14,2026-07-25,market data,verified,verified,Source of the FHA/VA/conventional delinquency split,https://web.archive.org/web/20260623090850/https://www.mba.org/news-and-research/newsroom/news/2026/05/14/mortgage-delinquencies-increase-in-the-first-quarter-of-2026
S030,FHA and VA foreclosures could more than double by next fall,"Mortgage Professional America (Donna Schmidt, DLS Servicing)",https://www.mpamag.com/us/mortgage-industry/market-updates/fha-and-va-foreclosures-could-more-than-double-by-next-fall-executive-predicts/583520,2026-07-23,2026-08-18,industry,verified,verified,"VA defaults at ~4% modified to ~7.125% PMMS, nearly double the payment, no reduced-payment alternative. Doubling figure is a practitioner forecast | 2026-08-18: archive URL carried over from S117, which was the same article registered twice and has been removed.",https://web.archive.org/web/20260809202856/https://www.mpamag.com/us/mortgage-industry/market-updates/fha-and-va-foreclosures-could-more-than-double-by-next-fall-executive-predicts/583520
S031,VA home loan refinancing fee would nearly triple under GOP-led bill,Stars and Stripes (Linda F. Hersey),https://www.stripes.com/veterans/2026-06-15/va-home-loan-refinancing-fee-21976875.html,2026-06-15,2026-07-25,press,verified,verified,Funding-fee increase proposed the same day the Partial Claim Program launched,https://web.archive.org/web/20260809195950/https://www.stripes.com/veterans/2026-06-15/va-home-loan-refinancing-fee-21976875.html
S032,VA home foreclosures surge as veterans are urged to call servicers early,WRDW / WAGT 12 On Your Side,https://www.wrdw.com/video/2026/06/23/va-home-foreclosures-surge-veterans-are-urged-call-servicers-early/,2026-06-23,2026-07-25,press,verified,verified,Local broadcast coverage,https://web.archive.org/web/20260809200026/https://www.wrdw.com/video/2026/06/23/va-home-foreclosures-surge-veterans-are-urged-call-servicers-early/
S033,US Foreclosures Rise 21% - FHA and VA Loans Show the Most Stress,The Close,https://theclose.com/news-foreclosures-fha-va-stress/,2026-07-21,2026-07-25,press,verified,verified,"Reads ATTOM and MBA together: FHA 11.88%, VA 4.99%, conventional 2.75% Q1 2026",https://web.archive.org/web/20260809200119/https://theclose.com/news-foreclosures-fha-va-stress/
S034,Veterans Face Housing Squeeze as VA Pulls Back Help and New Homes Stall,Newsweek,https://www.newsweek.com/veterans-lose-homes-as-va-relief-ends-and-housing-plans-stall-11891543,2026-05-02,2026-07-25,press,verified,verified,National coverage of rising VA-backed foreclosures as relief wound down,https://web.archive.org/web/20260809200159/https://www.newsweek.com/veterans-lose-homes-as-va-relief-ends-and-housing-plans-stall-11891543
S035,Realtor.com on the Partial Claim launch and the foreclosure process,Realtor.com,https://www.realtor.com/news/trends/va-partial-claim-program-launch-foreclosure-process/,2026,2026-07-25,press,verified,verified,Consumer-facing account of the program and the foreclosure timeline,https://web.archive.org/web/20260809200242/https://www.realtor.com/news/trends/va-partial-claim-program-launch-foreclosure-process/
S036,What is a loan modification and who qualifies,Military.com,https://www.military.com/va-loan/learn/what-is-a-loan-modification-and-who-qualifies,2026,2026-07-25,explainer,verified,verified,"Comparison table is VA vs conventional, not FHA: residual income vs DTI, both to 40 years, VA aims at current market average rate. Consumer explainer, not rule text; no claim rests on it",https://web.archive.org/web/20260809200337/https://www.military.com/va-loan/learn/what-is-a-loan-modification-and-who-qualifies
S037,4 years until time expires on new VA mortgage program to avoid foreclosure,Military.com,https://www.military.com/money-benefits/4-years-until-time-expires-on-new-va-mortgage-program-to-avoid-foreclosure,2026,2026-07-25,press,verified,verified,Partial Claim Program statutory sunset,https://web.archive.org/web/20260809200414/https://www.military.com/money-benefits/4-years-until-time-expires-on-new-va-mortgage-program-to-avoid-foreclosure
S038,"H.R. 6644, 21st Century Veterans Affairs Benefits Delivery Act - enrolled text",GovInfo / U.S. Congress,https://www.govinfo.gov/app/details/BILLS-119hr6644enr,2026,2026-07-25,legislation,verified,verified,Listed for the record; no claim on this site rests on it,https://web.archive.org/web/20260809200450/https://www.govinfo.gov/app/details/BILLS-119hr6644enr
S039,Investors list more homes after Road to Housing Act but impact may stay local,HousingWire,https://www.housingwire.com/articles/investors-list-more-homes-after-road-to-housing-act-but-impact-may-stay-local/,2026-07-21,2026-07-25,press,verified,verified,Institutional-investor SFR listings more than doubled since early February; ROAD to Housing Act effect appears local. No direct VA-home-loan bearing confirmed; no claim rests on it,https://web.archive.org/web/20260729043318/https://www.housingwire.com/articles/investors-list-more-homes-after-road-to-housing-act-but-impact-may-stay-local/
S040,"House roll call 249 - motion to recommit, Take Care of America's Veterans Act (H.R. 9237)",Office of the Clerk US House,https://clerk.house.gov/Votes/2026249,2026-07-16,2026-07-25,official,verified,verified,Motion to recommit failed 210-211; bill then pulled from floor consideration,https://web.archive.org/web/20260716193148/https://clerk.house.gov/Votes/2026249
S041,"Take Care of America's Veterans Act (H.R. 9237), 119th Congress - bill record",Congress.gov,https://www.congress.gov/bill/119th-congress/house-bill/9237,2026,2026-07-25,official,verified,verified,"Legislative history, sponsors, text and status of record",https://web.archive.org/web/20260625195244/https://www.congress.gov/bill/119th-congress/house-bill/9237
S042,"H.R. 8532, VA Home Loan Affordability Act - bill text",Congress.gov,https://www.congress.gov/bill/119th-congress/house-bill/8532/text,2026,2026-07-25,official,verified,verified,Introduced; would align parts of the VA home loan program with FHA-style requirements. Separate measure from H.R. 9237,https://web.archive.org/web/20260829151713/https://www.congress.gov/bill/119th-congress/house-bill/8532/text
S043,"Sen. Murray on Legal Services Corporation funding, FY2026",Office of Sen. Patty Murray,https://www.murray.senate.gov/after-murray-defeated-trump-efforts-to-defund-legal-aid-murray-meets-with-northwest-justice-project-in-seattle-to-highlight-a-lifeline-for-workers-veterans-survivors-and-more/,2026,2026-07-25,official statement,verified,verified,Protected $540M for LSC in FY2026 and rejected the proposal to defund it; states House Republicans sought to cut it by nearly half,https://web.archive.org/web/20260809200728/https://www.murray.senate.gov/after-murray-defeated-trump-efforts-to-defund-legal-aid-murray-meets-with-northwest-justice-project-in-seattle-to-highlight-a-lifeline-for-workers-veterans-survivors-and-more/
S044,Legal Services Corporation FY2027 budget request,Legal Services Corporation,https://www.lsc.gov/our-impact/publications/budget-requests/fiscal-year-2027-budget-request,2026,2026-07-25,official,verified,verified,"Seeks $2.143B ($2,142,675,816) for FY2027, +$10.2M. Grantees fully serve 29%, partially serve 22%, turn away 49% (~1.8 million). White House FY2026 budget proposed elimination with $21M close-out",https://web.archive.org/web/20260806050428/https://www.lsc.gov/our-impact/publications/budget-requests/fiscal-year-2027-budget-request
S045,LSC on unmet civil legal needs (press release),Legal Services Corporation,https://www.lsc.gov/press-release/lsc-says-2-billion-needed-address-low-income-americans-unmet-civil-legal-needs,2026,2026-07-25,official,verified,verified,Agency statement of funding needed for unmet civil legal needs,https://web.archive.org/web/20260517003226/https://www.lsc.gov/press-release/lsc-says-2-billion-needed-address-low-income-americans-unmet-civil-legal-needs
S046,LSC seeks $2.14B as White House pushes to slash funding,Law360,https://www.law360.com/articles/2461893/lsc-seeks-2-14b-as-white-house-pushes-to-slash-funding,2026,2026-07-25,press,verified,verified,Trade-press corroboration of the FY2027 figure; subscription may be required,https://web.archive.org/web/20260619143517/https://www.law360.com/articles/2461893/lsc-seeks-2-14b-as-white-house-pushes-to-slash-funding
S047,LSC Justice Gap - Special Focus: Veterans and military personnel (2017),Legal Services Corporation / NORC,https://lsc-live.app.box.com/s/q288zuu6igim5nzrjb99rewe7l32whz9,2017,2026-07-25,official research,verified,verified,71% of low-income veteran/military households had a civil legal problem in past year; sought help for 21%; inadequate or no help for est. 88%. Veteran estimates based on fewer than 100 reported problems,https://web.archive.org/web/20260209142818/https://lsc-live.app.box.com/s/q288zuu6igim5nzrjb99rewe7l32whz9
S048,VA CARES Act guidance for borrowers with VA-guaranteed home loans,US Dept of Veterans Affairs / VBA,docs/VA-CARES-Act-guidance-for-borrowers.pdf,2020,2026-07-25,agency guidance,verified,verified,180 days + 180 more on request; 60-day foreclosure/eviction moratorium from 3/18/20; missed payments do not have to be made up in a single payment. Captured PDF; live VA URL pending,
S049,CARES Act Forbearance Fact Sheet for FHA VA and USDA servicers,Federal interagency,https://www.benefits.va.gov/HOMELOANS/documents/docs/servicers_cares_factsheet.pdf,2020,2026-07-25,agency guidance,verified,verified,Servicer-facing companion to S048. Servicers must grant the forbearance requested; no documentation required; available regardless of delinquency status; missed payments must be repaid but may be paid back over time; VA servicers cannot require a lump sum on exit,https://web.archive.org/web/20251117090246/https://benefits.va.gov/HOMELOANS/documents/docs/servicers_cares_factsheet.pdf
S050,VA Home Loan Program Reform Act of 2025 - sponsor summary,US House,docs/VA-Home-Loan-Program-Reform-Act-2025-summary.pdf,2025,2026-07-25,legislative summary,verified,verified,CARES partial-claim authority expired in 2021; every other federal home loan program offers a partial claim except VA. Sponsor advocacy document,
S051,HVAC hearing April 11 2024 - VA budget request FY2025 and FY2026,US House Committee on Veterans Affairs (118th Cong 2d Sess),https://www.govinfo.gov/content/pkg/CHRG-118hhrg55605/html/CHRG-118hhrg55605.htm,2024-04-11,2026-07-25,hearing record,verified,verified,"Witness Sec. Denis McDonough: VASP building on existing authority; ~40,000 at-risk mortgage holders. Launched under McDonough, terminated 2025 under Sec. Collins",https://web.archive.org/web/20260730051123/https://www.govinfo.gov/content/pkg/CHRG-118hhrg55605/html/CHRG-118hhrg55605.htm
S052,"Written statement of John Bell III, VA Executive Director Loan Guaranty Service, HVAC Subcommittee on Economic Opportunity",U.S. House Committee on Veterans' Affairs,https://docs.house.gov/meetings/VR/VR10/20240215/116827/HHRG-118-VR10-Wstate-BellJ-20240215.pdf,2024-02-15,2026-08-12,hearing record,verified,verified,"VA: no explicit authority to advance guaranty funds as loss mitigation; cannot offer a partial claim pulling from the guaranty; VA carries 25% of default risk vs 90%+ for other federal programs; COVID-VAPCP expired 10/28/22; 200,000+ affected / 50,000+ assisted / 145,000 retained in the prior year",https://web.archive.org/web/20250523203259/https://docs.house.gov/meetings/VR/VR10/20240215/116827/HHRG-118-VR10-Wstate-BellJ-20240215.pdf
S053,Preventing Foreclosures: How the Pandemic Reshaped the Loss Mitigation Toolkit,Urban Institute Housing Finance Policy Center,https://www.urban.org/sites/default/files/2024-07/Preventing%20Foreclosures_0.pdf,2024-07,2026-07-25,research,verified,verified,VA had the most limited loss mitigation options lacking portfolio and partial claim authority; Congress needs to grant VA partial claim authority; VASP 'exhausted all other options' undefined so implementation will be uneven; borrowers cannot apply directly; VA could have used existing authority for a more flexible modification than the flat 2.5 percent; partial-claim funds acquired July 2021 expired October 2022,https://web.archive.org/web/20251225213104/https://www.urban.org/sites/default/files/2024-07/Preventing%20Foreclosures_0.pdf
S054,Information for VA home loan borrowers during COVID-19 - CARES Act frequently asked questions,U.S. Dept. of Veterans Affairs,https://benefits.va.gov/homeloans/cares-act-frequently-asked-questions.asp,2021,2026-07-25,agency guidance,verified,verified,VA's borrower-facing answers: forbearance entitlement and length; credit reporting; deferment does not extend maturity; COVID-VAPCP 7/27/21-10/28/22 requiring current or within 30 days of current on 3/1/20; Refund Modification 7/27/21-7/1/23 requiring within 120 days current on 3/1/20; short sale and deed in lieu 'could result in a loss or reduction in your future home loan benefit',https://web.archive.org/web/20260728194612/https://benefits.va.gov/homeloans/cares-act-frequently-asked-questions.asp
S055,VA Circular 26-24-2 - Updates to VA's COVID-19 Home Retention Waterfall and COVID-19 Refund Modification,U.S. Dept. of Veterans Affairs,https://www.benefits.va.gov/HOMELOANS/documents/circulars/26-24-02.pdf,2024-02-09,2026-07-25,agency guidance,verified,verified,Step D: servicer is not to initiate foreclosure or alternatives at this point; VA observed servicers may have begun foreclosure or offered DIL/short sale before VA review; waterfall entry test current or less than 120 days past due as of 3/1/2020 or loan made on/after that date; Step C targets 31 pct of gross monthly household income without VA purchase exceeding 30 pct of UPB; VA may exercise 38 USC 3732 refunding authority and purchase a delinquent loan,https://web.archive.org/web/20250909062548/https://www.benefits.va.gov/HOMELOANS/documents/circulars/26-24-02.pdf
S056,"Hearing transcript, HVAC Subcommittee on Economic Opportunity, February 15 2024 (Hearing 118-53)",U.S. House Committee on Veterans' Affairs,https://docs.house.gov/meetings/VR/VR10/20240215/116827/HHRG-118-VR10-Transcript-20240215.pdf,2024-02-15,2026-08-24,hearing record,verified,verified,"VASP exchange: Bell names 38 USC 3732 and 38 CFR 4320 as authority; 40,000 borrowers sought; 6-month payment protocol on modifications; VA portfolio almost 90% at 2.5-3% coupon; chair's below-market-rate objection and 'I do not care who is in the White House' framing PROVENANCE 2026-08-24: this PDF has NO TEXT LAYER. It is a Microsoft Print-To-PDF scan; pypdf returns 1,367 characters over 81 pages, all newlines, and reports zero unreadable files, and pdftotext returns 81 characters. A format-aware search of it is still a clean-looking zero that means nothing. The pages were rendered at 300 DPI with pdftoppm and read with tesseract --psm 6, giving 207,937 characters. The Van Orden and Bell authority exchange was verified by eye against the page image before publication. Mined passages and reliability tier: 04_Website\VFC_S056_Feb2024_Hearing_Mined_2026-08-24.md.",
S057,NPR investigation: veterans face foreclosure after VA ends a COVID forbearance program,NPR (Arnold/Lawrence; data analysis Benincasa),https://www.npr.org/2023/11/11/1211855956/veterans-va-loans-foreclosure-covid-forbearance,2023-11-11,2026-07-25,news,verified,verified,ICE Mortgage Technology data indexed to Jan 2018; VA active-foreclosure index rises above 2018 level to ~123 by late 2023 while FHA ~63 and GSE ~55; chart marks VA ending its mortgage assistance program,https://web.archive.org/web/20260809200851/https://www.npr.org/2023/11/11/1211855956/veterans-va-loans-foreclosure-covid-forbearance
S058,NPR reporting carried by OPB: veterans fear the VA's new foreclosure rescue plan won't help them,NPR via OPB,https://www.opb.org/article/2023/12/01/veterans-fear-the-va-s-new-foreclosure-rescue-plan-won-t-help-them/,2023-12-01,2026-07-25,news,verified,verified,"Servicer demanded full arrears after VA announced a pause; modification raised payment $1,300/mo to $3,600; pause ran only to 5/31/24; 40,000 VA borrowers in foreclosure or delinquent; VA met with servicers of 90%+ of VA loans",https://web.archive.org/web/20260809200930/https://www.opb.org/article/2023/12/01/veterans-fear-the-va-s-new-foreclosure-rescue-plan-won-t-help-them/
S059,"Chairman Bost, Van Orden Issue Joint Statement on Phase Out of VASP Program",U.S. House Committee on Veterans' Affairs (majority),https://veterans.house.gov/news/documentsingle.aspx?DocumentID=6683,2025-04-03,2026-07-25,congressional statement,verified,verified,"Committee's own fiscal case for a partial claim over loan purchase: $22,500 average loan delinquency vs $292,000 average loan purchased under VASP, rising to $320,000; over $5.4B of loans purchased since 5/31/24; VA's April 2024 estimate of 60,000 loans / $17.7B; stated intent to establish a partial claim to keep veterans in their homes 'while still protecting the American taxpayer'; VASP described as created for political purposes",https://web.archive.org/web/20260520141248/https://veterans.house.gov/news/documentsingle.aspx?DocumentID=6683
S060,"Blumenthal, Warren & Takano to Collins: Stop Pushing Thousands of Veterans into Foreclosure",Senate Committee on Veterans' Affairs (Minority),https://www.veterans.senate.gov/2025/4/blumenthal-warren-takano-to-collins-stop-pushing-thousands-of-veterans-into-foreclosure,2025-04-09,2026-07-25,congressional letter,verified,verified,"Blumenthal (SVAC RM), Warren (Senate Banking RM) and Takano (HVAC RM) press Collins to reverse the VASP termination; signed by 22 Democrats and Independents",
