pr_id,group,strategy_code,heard,where,record_says,authority,receipt,say_back,if_again,status,last_verified,origin,anchor,notes
PR-11,C. Authority and the agency’s own numbers,R5 Parity-invert,"""The program has launched, help is available."" / ""The program is available.""",agency press statements · congressional replies · news coverage,"Launched is not available. Available and live, June 15, 2026. Required to be offered, November 28, 2026.","VA final policy M26-4 Ch. 5 and Ch. 22, June 1 2026. MERGED FROM LIVE: M26-4 Transmittal Sheet Change 14 (June 1, 2026) sets full servicer implementation at no later than 180 days from publication, which is November 28, 2026. VA ready for servicer submissions June 15, 2026. Independently flagged by NCLC (launch-day release) and Military.com (June 19, 2026).",receipts/m26-4-transmittal-change14.png,"""Available and required are different dates. VA issued the final policy June 1, 2026 and called the program live June 15. The same transmittal sets full servicer implementation at no later than 180 days from publication, which is November 28, 2026. Has my servicer implemented it? What is available to me before then?""",Ask the servicer in writing for its implementation date. No published ETA is itself the answer.,VERIFIED,2026-08-10,MERGE of PR-11 (draft 7/26) + R-13 (live),/rebuttals#PR-11,"EXPIRY: this entry stops being true on 2026-11-28. Build it dated and revisable in place, not as permanent present tense. The live R-13 has the sharper authority. Transmittal Sheet Change 14 is the specific document; keep it. | 2026-08-10: hold cleared. The capture the entry was waiting for was taken 2026-08-09 and filed as receipt_m26-4-transmittal-change14.png; nobody wired it. EXPIRY STANDS: this entry stops being true on 2026-11-28 and is dated, not present tense."
PR-12,C. Authority and the agency’s own numbers,R4 One-to-many,"""VA helped 173,000 veterans avoid foreclosure.""",agency press statements · hearing testimony · reporters repeating the figure,Ask what counts as help. Repayment plans and short sales are inside that number.,agency-published figure; composition and definitions not published,the figure in context,"""What is the breakdown of that figure by outcome type, and how many of those households are still in the home today?""",FOIA the composition by outcome category and by year.,CITATION PENDING. DO NOT PUBLISH,2026-07-26,PR draft 7/26,/rebuttals#PR-12,Held. Source not locked. This is the one entry that must not ship in the first deploy.
PR-13,D. Pattern and process,R2 Flip-the-villain,"""If the bank was really in the wrong, they wouldn’t be foreclosing.""",comment sections · family conversations · staffer prep · reporters before they call,"The mortgage industry warned the VA this would happen, in writing and under oath, before it happened.","Mortgage Bankers Association white paper, December 12, 2024. MBA testimony to the House Veterans’ Affairs Subcommittee on Economic Opportunity, March 11, 2025, in which Elizabeth Balce, asked what happens to veterans without the rescue program, answered: ""the short answer is foreclosure. Period.""","the hearing transcript page, and the white paper cover with its date","""The companies that do the foreclosing told Congress this would happen, seven weeks before the program ended. They asked the VA to fix it. This isn’t a family that didn’t pay, and it isn’t a bank acting alone.""",Send the hearing link. The quote does the work; do not editorialize on top of it.,VERIFIED,2026-07-26,PR draft 7/26,/rebuttals#PR-13,The decoder names R2 the highest-leverage intervention in the system. This entry sits at the top of the page.
PR-14,D. Pattern and process,R6 Closed-doors,"""If it was really illegal, why don’t they just sue?""",comment sections · staffer conversations · family self-blame,"The clock is short, the remedy is capped, the fee recovery is thin, and a foreclosed former owner is a category most free legal aid does not cover.","The federal deadlines are the same in every state. RESPA servicing claims under 12 U.S.C. 2605 carry three years, set by 12 U.S.C. 2614, running ""from the date of the occurrence of the violation."" The statute text contains no discovery rule, so the clock starts when the conduct happened, not when you found out. Most Truth in Lending damages claims carry one year under 15 U.S.C. 1640(e), with three years for claims under 15 U.S.C. 1639, 1639b or 1639c. Fair Credit Reporting claims under 15 U.S.C. 1681p carry the EARLIER of two years after you discover the violation or five years after it occurs; earlier, not later. State deadlines vary and Washington is a worked example only. The Washington Consumer Protection Act carries four years under RCW 19.86.120. Washington post-sale claims are governed by RCW 61.24.127(2)(a), which requires a claim be brought ""within two years from the date of the foreclosure sale or within the applicable statute of limitations for such claim, whichever expires earlier."" A longer federal period does not extend it. What a court may award is also limited: RCW 61.24.127(2) allows money only, says the claim ""may not affect in any way the validity or finality of the foreclosure sale,"" prohibits recording a lis pendens, and limits relief to actual damages unless a Consumer Protection Act claim rides along, in which case treble damages and a reasonable attorney's fee become available under RCW 19.86.090, which caps the increased award for a RCW 19.86.020 violation at twenty-five thousand dollars. Statutory damages are small: RESPA gives actual damages plus, only for a pattern or practice, an amount ""not to exceed $2,000"" under 12 U.S.C. 2605(f)(1), and TILA statutory damages on a closed-end mortgage are ""not less than $400 or greater than $4,000"" under 15 U.S.C. 1640(a)(2)(A)(iv). Two things here are not statutes and matter as much. Legal aid is organised around a category a foreclosed former owner falls outside of: in August 2026 Washington's statewide civil legal aid provider declined a case in this cohort because it was a foreclosure eviction rather than a standard unlawful detainer. The obstacle was category, not capacity. And the private bar is thin for a documented reason: an attorney told the family that lawyers left the consumer foreclosure defence speciality after the 2007 to 2008 housing crash and did not come back, and that state-by-state licensing narrows the pool further for a cohort spread across many states.","CAPTURE: 12 U.S.C. 2614; 15 U.S.C. 1640(e); 15 U.S.C. 1681p; 12 U.S.C. 2605(f)(1); 15 U.S.C. 1640(a)(2)(A)(iv); RCW 19.86.120; RCW 19.86.090; RCW 61.24.127(2) captured as a whole subsection. Plus a dated, de-identified record of the legal-aid declination.","""I am a former owner after a foreclosure sale, not a tenant, so the eviction programs in my area may not cover me. Before anything else I need to know which deadlines are already running. Under 12 U.S.C. 2614 a RESPA servicing claim is three years from the date the violation happened, not from when I found out. Under 15 U.S.C. 1640(e) most Truth in Lending damages claims are one year. My state may put a separate and shorter deadline on anything raised after the sale. Can you tell me which of my dates have already passed and which have not?""","This belongs in state legislative outreach and access-to-justice funding, not in a servicer dispute. A servicer cannot lengthen a statutory deadline and has no reason to try.","HOLD, research complete, needs receipt captures before publishing",2026-08-10,PR draft 7/26,/rebuttals#PR-14,"Pairs with PR-26; PR-14 is why suing is hard, PR-26 is why a referral does not close the gap. Ship adjacent. | 2026-08-10: hold research COMPLETE, entry drafted, publication now gated only on receipt captures. NJP question ANSWERED by Leann from her own attempt: declined because it is a foreclosure eviction rather than a standard unlawful detainer. Every limitation period and cap verified against statute text with pin cites. NATIONAL BY DEFAULT: RESPA, TILA and FCRA are uniform everywhere; post-sale windows, state UDAP periods and damages caps vary, and RCW 61.24.127 has no national analogue. Never promote the Washington numbers into the general rule. Never state a period without naming the statute. DO NOT add a contingency-rate statistic; none exists, and the only representation data is 2009 to 2010 from judicial-foreclosure states. DO NOT publish an NJP turn-away rate; the finding is about category, not capacity. DO NOT name the attorney or his firm without written consent. Statute captures could not be rendered from the build container; both law.cornell.edu and app.leg.wa.gov refuse its connections."
PR-15,D. Pattern and process,R8 Name-the-omission,"""You were in review, so you weren’t really being foreclosed on.""",servicer responses · agency correspondence · press statements,"Both were true at once. That is what dual tracking means, and it is what the rule prohibits.","12 CFR § 1024.41(g), RESPA / Regulation X, restricts moving for foreclosure judgment or sale while a complete loss-mitigation application is pending",receipts/1024-41g.png; 12 CFR 1024.41(g),"""My application was pending and the foreclosure advanced at the same time. Under Regulation X those two things are not supposed to run together. Please send the dates for both.""","Request the loss-mitigation log and the foreclosure referral date in writing. The overlap between those two dates is the violation, and it is documentary.",VERIFIED,2026-08-10,PR draft 7/26,/rebuttals#PR-15,"The live set already holds receipts/1024-41g.png. That may close the hold, check the capture against eCFR before shipping. | 2026-08-10: hold cleared. Fresh eCFR pull confirms 12 CFR 1024.41(g), ""Prohibition on foreclosure sale"": a servicer shall not move for foreclosure judgment or order of sale, or conduct a sale, on a complete application filed more than 37 days before the sale, subject to three exceptions. Subsection (g) is correct as cited."
PR-16,D. Pattern and process,R8 Name-the-omission,"""You can’t prove they didn’t send it.""",agency responses · servicer disputes · anywhere a family is asked to prove a negative,You don’t have to. The rule puts the record-keeping duty on them.,RESPA / Regulation X acknowledgement and notice requirements. Servicers must maintain and produce the servicing file on a Qualified Written Request.,the acknowledgement provision,"""I’m not asked to prove a negative. You’re required to keep the record and produce it. Please send the acknowledgement, the evaluation notice, and the upload log.""","QWR for the full servicing file. Non-production is its own finding, and it shifts the burden back where the rule puts it.",VERIFIED,2026-07-26,PR draft 7/26,/rebuttals#PR-16,"Generalized from the burden-shift section of the HVAC additions, 2026-06-19."
PR-17,D. Pattern and process,R1 Tried-but-blocked,"""You already got COVID help, so you can’t get this.""",servicer loss-mitigation reviews · VA responses · anywhere a family took COVID-era assistance,The statute bars a second claim under its own program. The handbook extends that bar to COVID-era programs Congress did not mention.,"38 U.S.C. § 3737(c)(2)(A) limits VA to ""only one partial claim per loan,"" by its terms scoped to partial claims under that section. M26-4 Ch. 22 § 22.02 a.10 (FINAL, June 1 2026) extends the disqualification to a COVID-19 Veterans Assistance Partial Claim Payment under 38 C.F.R. part 36 subpart F, and to a COVID-19 Refund Modification. Neither is a § 3737 partial claim.","§ 3737(c)(2)(A) beside § 22.02 a.10, side by side","""The one-per-loan limit in the statute applies to partial claims under section 3737. I received a COVID-era partial claim under a different program and a different authority. Please identify the statutory basis for treating that as disqualifying.""","Put the question in writing to VA and to your congressional office. This is an oversight item, not a servicer dispute; the servicer cannot waive a handbook criterion.","HOLD, counsel to confirm the scoping argument before it publishes as a legal conclusion",2026-07-26,PR draft 7/26,/rebuttals#PR-17,Reaches the forbearance cohort directly. Ship it stating what the two documents say and letting the reader draw the inference; do not assert the legal conclusion.
PR-18,D. Pattern and process,R8 Name-the-omission,"""The partial claim is a benefit you’re not entitled to.""",VA responses · appeals guidance · anywhere a family asks how to challenge a denial,"VA has written the program as discretionary, not a benefit, and not judicially reviewable. Families should know that before they rely on an appeal.","M26-4 Ch. 22 § 22.01(b) (FINAL): the authority ""is fully discretionary and is not a home loan benefit."" 38 U.S.C. § 3737 provides that a decision under the section is not subject to judicial review and, for § 511 purposes, is not treated as a decision under a law affecting the provision of benefits.",§ 22.01(b) beside the § 3737 review provision,"""I understand VA treats this as discretionary and not reviewable. I am asking for the denial in writing with the specific criterion cited, so the record is complete regardless of the review posture.""","This is a structural finding, not a case dispute. It belongs in front of committee staff: discretionary, not a benefit, and not reviewable, stacked together in one program.",VERIFIED,2026-07-26,PR draft 7/26,/rebuttals#PR-18,
PR-19,D. Pattern and process,R8 Name-the-omission,"""Nothing changed between the draft and the final.""",anyone who commented on the draft and assumes the final matches it,Two of the most exclusionary criteria were added after the comment window closed.,"February 2026 draft Chapter 22 compared against the June 1, 2026 final. The draft required six payments since the most recent modification; the final replaced that with a flat 24-month modification lockout (a.7). The final added a.10, extending the bar to COVID-19 partial claims and Refund Modifications. Neither appears in the draft.","the two versions, side by side, with their dates","""The criteria in the final are not the criteria that were open for comment. Two of them were added afterward.""","This belongs in the notice ledger and in any oversight correspondence. Draft, comment, final is a documented sequence, and the gap between what was commented on and what shipped is part of the record.","VERIFIED, both documents held",2026-07-26,PR draft 7/26,/rebuttals#PR-19,"Carries PR-03 and PR-17. If either of those moves, this one moves with it."
PR-20,"E. Authority, oversight and access",R8 Name-the-omission,"""The servicer was only following the rules.""",servicer responses · agency correspondence · comment sections,Servicers were bound by federal servicing law the entire time.,"Only the numbered 2026 waterfall is new. Regulation X, binding the entire time, required servicers to evaluate a complete application against all options within 30 days (12 C.F.R. § 1024.41(c)(1)), give a specific reason for each denial (§ 1024.41(d)), and observe the dual-tracking restriction (§ 1024.41(g)). 38 C.F.R. § 36.4319(a) carries the VA-side duty.",receipts/1024-41c1.png; receipts/36-4319a.png; receipts/1024-41d.png; receipts/1024-41g.png,Request the written denial notice for each option. The law requires a specific reason per option.,A denial with no per-option reason is a Reg X violation on its face. It goes in the CFPB complaint with the dates.,COMPLETE,2026-08-05,LIVE the-script.html R-02. NOT in the 7/26 draft,/rebuttals#PR-20,
PR-21,"E. Authority, oversight and access",R8 Name-the-omission,"""Nobody was checking on the servicers.""",agency testimony · oversight replies · press statements,The agency built a system to determine servicer compliance. The question is whether the servicer reported into it.,"VA built VALERI specifically to track servicer loss-mitigation compliance and inspects servicer files: M26-4 Ch. 5 § 5.11; 38 C.F.R. § 36.4350(j). ""We cannot determine compliance"" and ""the servicer never reported into the system we built to determine compliance"" are different statements.",receipts/m26-4-5-11.png; receipts/36-4350j.png,The one question every oversight office can ask: produce the VALERI event history.,A FOIA to the VA Regional Loan Center for the VALERI records resolves it directly. Twenty business days.,COMPLETE,2026-08-05,LIVE the-script.html R-03. NOT in the 7/26 draft,/rebuttals#PR-21,This is the entry that converts into an oversight ask. It is also the basis for FOIA item X4.
PR-22,"E. Authority, oversight and access",R2 Flip-the-villain,"""The VA isn’t the one foreclosing.""",agency testimony · constituent-services replies · press statements,The Department is the named plaintiff evicting veteran families.,Roughly three of four foreclosed veteran homes are conveyed to the VA (Auction.com data); title passes to the Secretary of Veterans Affairs; post-foreclosure evictions are then filed in the Secretary’s name and executed through the VA’s private REO contractor. 38 U.S.C. § 3732 is the disposition authority under which VA could choose otherwise.,receipts/vrm-contract.png; receipts/vrm-activity.png; receipts/collins-svac.png,"Ask your Member: who is the named plaintiff in these evictions, and under what disposition authority (38 U.S.C. § 3732) could the VA choose otherwise?","This is an oversight question, not a servicer dispute. Put it to the committee of jurisdiction in writing.",COMPLETE,2026-08-05,LIVE the-script.html R-04. NOT in the 7/26 draft,/rebuttals#PR-22,"Directly answers the Collins SVAC deflection (""those are the mortgage bankers that take them out. We don’t take anybody out of homes"")."
PR-23,"E. Authority, oversight and access",R7 Concede-and-turn,"""VASP was cancelled because it was illegal.""",agency testimony · congressional replies · news coverage,"No neutral body ever found VASP unlawful, and the VA itself called the authority ""existing.""","VA’s own April 2024 launch materials stated it had ""existing authority to establish and implement VASP under 38 U.S.C. § 3732 and § 3720."" No GAO opinion, CRS analysis, OGC memo, or court ruling ever held otherwise. 38 U.S.C. § 3737(h) separately authorises acting before regulations are prescribed.",receipts/vasp-hearing-existing-authority.png; receipts/vasp-hearing-40000.png; receipts/3737h.png,"Read the authority analysis on the Policy and Fiscal page. Then ask which neutral body made the finding, and when.",Ask for the legal opinion in writing. There is no published one. The absence is the answer.,COMPLETE,2026-08-05,LIVE the-script.html R-05. NOT in the 7/26 draft,/rebuttals#PR-23,Pairs with PR-10 and PR-27 as the three-part authority argument.
PR-24,"E. Authority, oversight and access",R7 Concede-and-turn,"""Helping them would cost taxpayers more.""",comment sections · fiscal-conservative framing · agency budget testimony,"Prevention was the cheap option, by the government’s own math.","The multi-billion figures cited are gross loan-purchase volume, not net cost, buying a re-performing loan is an asset offset by repayments. CBO scored the replacement partial-claim law as reducing net direct spending by $147 million, including $294 million in offsets.",receipts/cbo-147m.png; receipts/cbo-table1.png,"See the fiscal two-path on the Policy and Fiscal page: the foreclosure path costs more than the partial-claim path, and CBO scored it.",Send the CBO score. It is a government document and it ends the argument on its own terms.,COMPLETE,2026-08-05,LIVE the-script.html R-06. NOT in the 7/26 draft,/rebuttals#PR-24,The single strongest entry for a fiscal-conservative audience. Do not bury it.
PR-25,"E. Authority, oversight and access",R7 Concede-and-turn,"""Homeowners have more legal protection than renters.""",comment sections · legal-aid intake · anywhere post-foreclosure occupancy comes up,"After a foreclosure sale, the former owner usually has less protection than a tenant in the same building.","In Washington a tenant in a foreclosed property gets sixty days' written notice to vacate under RCW 61.24.146, and that section says in terms that it does not apply if the borrower or grantor remains on the property. RCW 61.24.060(1) gives the purchaser possession on the twentieth day as against the borrower and grantor and occupants who are not tenants. The appointed-counsel provision, RCW 59.18.640(1), is written for an indigent TENANT in unlawful detainer proceedings under chapters 59.18, 59.12 and 59.20, and it is expressly SUBJECT TO THE AVAILABILITY OF AMOUNTS APPROPRIATED FOR THIS SPECIFIC PURPOSE. So the notice protection excludes the former owner on the face of the statute, and the counsel provision is written for tenants and is funding-contingent even for them. Wyoming has a three-month statutory redemption with the right to remain during it; Washington has none.",receipts/rcw-61-24-060.png; receipts/rcw-61-24-146.png; receipts/rcw-59-18-640.png,"""In Washington a tenant in a foreclosed property gets sixty days' written notice, and that section says it does not apply if the borrower or grantor stays on the property. The purchaser gets possession on the twentieth day. The appointed-counsel statute is written for an indigent tenant and is subject to available appropriations. I am the former owner, so I have twenty days and I should not count on counsel.""","This is a state-law finding. It belongs in state legislative outreach, not in a servicer dispute.",VERIFIED,2026-08-10,LIVE the-script.html R-10. NOT in the 7/26 draft,/rebuttals#PR-25,"State-specific. Label it Washington and Wyoming explicitly; do not generalise it to all states. | 2026-08-10: hold cleared. All three captures were taken 2026-08-09 and were on disk. receipt_rcw-61-24-060.png was a PDF carrying a .png extension and would have shipped as a broken image; re-rendered at 150 dpi from the source. STATE SCOPE STANDS: Washington and Wyoming only, do not generalise. | 2026-08-10: qualifier restored. The entry stated appointed counsel flatly as not reaching the former owner. Two corrections. RCW 59.18.640(1) is expressly subject to the availability of appropriated funds, a caveat recorded 2026-08-09 that did not travel into the entry. And the provision turns on the word TENANT rather than on the chapter, since it already covers chapter 59.12, which is where RCW 61.24.060 routes post-sale possession. Whether a holdover former owner is ever treated as a tenant for that purpose is a lawyer question and the entry no longer asserts it as settled. The sixty-day notice exclusion IS settled and is quoted from the statute. STATE SCOPE STANDS: Washington and Wyoming only."
PR-26,"E. Authority, oversight and access",R8 Name-the-omission,"""Refer them to legal aid.""",agency responses · VSO caseworkers · congressional casework replies,"Referral is treated as the end of the obligation. For a household still in the home after a sale, it frequently is not.","Not a statutory claim. Describes how foreclosure-defense and eviction right-to-counsel programs are scoped: foreclosure-defense programs generally close the file at the sale, and eviction-counsel programs generally cover landlord and tenant cases. A post-sale former owner is neither.","N/A, structural finding. The evidence is the unmet referral itself.","""Which provider takes post-foreclosure veteran cases in my state? I need a name, not a referral line.""","Document every referral that did not produce representation, with the date and the reason. The pattern is the finding.","COMPLETE, structural finding, no receipt",2026-08-05,LIVE the-script.html R-11. NOT in the 7/26 draft,/rebuttals#PR-26,"Pairs with PR-14. Together they are the access-to-justice pair, and they are the two entries most likely to be quoted by a reporter."
