date,title,type,url,source_org,status,notes
2026-06-01,"VA published final M26-4 Ch. 5 + Ch. 22 loss-mitigation / Partial Claim policy (Transmittal Sheets 13-14); servicers get 180 days from this date",Program event,https://www.knowva.ebenefits.va.gov/system/templates/selfservice/va_ssnew/help/customer/locale/en-US/portal/554400000001018/content/554400000324998/VA-Manual-M26-4-Transmittal-Sheet-Change-14,U.S. Dept. of Veterans Affairs,verified,"Final policy; source of the VA-added eligibility gates"
2026-05-26,"Rep. Pappas + 27 colleagues (28 signers) demand a targeted VA foreclosure moratorium",Congressional action,https://pappas.house.gov/media/press-releases/pappas-demands-va-establish-foreclosure-moratorium-for-veterans-put-at-risk-of-losing-their-homes,U.S. House (Rep. Chris Pappas),verified,"Letter text says 10,000+, predates the 15,000+ update"
2026-05-20,"Sen. Blumenthal put the 15,000+ foreclosed figure on the record at the SVAC hearing",Statement,https://www.veterans.senate.gov/2026/5/review-of-the-fiscal-year-2027-budget-and-2028-advance-appropriations-requests-for-the-department-of-veterans-affairs,U.S. Senate Veterans' Affairs Committee,verified,"Source for the 15,000+ figure (C001)"
2026-05-14,"MBA National Delinquency Survey Q1 2026: FHA delinquency 11.88%, VA 4.99%, conventional 2.75%",Market data,https://www.mba.org/news-and-research/newsroom/news/2026/05/14/mortgage-delinquencies-increase-in-the-first-quarter-of-2026,Mortgage Bankers Association,verified,"Quarterly survey data"
2026-03-12,"MBA and CHLA each ask VA for at least 180 days of servicer lead time; MBA warns the draft would leave veterans substantially worse off than Fannie/Freddie/FHA borrowers",Industry comment,https://www.housingwire.com/articles/va-partial-claim-rules/,HousingWire (reporting on MBA + CHLA letters),verified,
2026-04-02,"NPR investigation: the VA killed a home-loan program that was saving veterans from foreclosure",Press,https://www.npr.org/2026/04/02/nx-s1-5750814/veterans-mortgages-foreclosure-va-rescue,NPR,verified,"90,000+ behind via ICE data (C002)"
2025-07-30,"H.R. 1815 (VA Home Loan Program Reform Act) signed into law",Congressional action,https://www.congress.gov/bill/119th-congress/house-bill/1815,Congress.gov,verified,"Permanent partial-claim authority + directed waterfall (C006)"
2025-05-20,"Takano–Pappas press conference; NCLC and National Fair Housing Alliance call for a foreclosure moratorium",Press,https://democrats-veterans.house.gov/news/press-releases/takano-and-pappas-host-press-conference-on-trump-va-ending-program-protecting-veterans-from-foreclosure,U.S. House Democrats (Veterans),verified,"Moratorium call from advocates"
2025-05-01,"VASP terminated, effective May 1, 2025, on roughly eight days' notice",Program event,https://www.benefits.va.gov/HOMELOANS/documents/circulars/26-25-02.pdf,U.S. Dept. of Veterans Affairs,verified,"VASP launched 5/31/24; killed 5/1/25 (C008)"
2025-03-01,"Mortgage Bankers Association warns ending VASP means 'Foreclosure. Period.'",Statement,https://www.mpamag.com/us/news/general/va-strips-away-veterans-foreclosure-protection-advocates-push-for-immediate-fix/534295,Mortgage Bankers Association,verified,"Foreseeability: warned before VASP was killed (S009)"
2024-02-17,"NPR: veterans pushed toward foreclosure after the COVID-forbearance bait-and-switch",Press,https://www.npr.org/2024/02/17/1231837200/veterans-mortgage-va-covid-forbearance,NPR,verified,"Original reporting on the forbearance trap"
